foe_sam_time,foe_sam_id,foe_sam_x,foe_sam_y
84,7879.0-4282.0,148.85912761264302,449.775124283735
84,8906.0-4866.0,183.38619289181884,498.2828080768627
84,7278.0-3462.0,163.127467142477,465.37390591264864
84,5934.0-1830.0,184.69948738736156,518.225859999085
84,4724.0-4284.0,160.29873392286467,484.8328573179931
84,3231.0-4357.0,200.12597365503785,531.1001491617999
84,6647.0-1667.0,169.60760091454551,501.6013801185446
84,2156.0-3675.0,208.5942225566923,547.8676208070282
84,5181.0-1973.0,170.31761164219654,520.3613619756311
86,5982.0-532.0,100.85001749474206,262.35658781832814
86,2972.0-292.0,91.38070931040929,284.2895673036705
86,6213.0-113.0,125.074885883902,294.61797213178215
86,8551.0-1532.0,182.21833059475858,308.91269286801406
86,7762.0-3912.0,111.506333705826,380.2430932922187
86,7588.0-2816.0,160.86788086653803,327.22227661960756
86,7616.0-4572.0,138.17848631362887,387.98077367016367
86,382.0-2828.0,94.8024781384777,362.0178271953697
86,6586.0-2842.0,109.26515831952082,425.0455340948672
86,6589.0-916.0,181.70069031184948,363.982551279885
86,2018.0-3491.0,200.58517365484107,411.19019319390463
86,7974.0-3062.0,131.22530882410462,387.7578426421135
86,9522.0-4450.0,180.87259716057704,432.1174595036923
86,5557.0-3147.0,143.7825055354187,403.5448554706418
86,9936.0-4094.0,189.64990336672574,449.0441283621049
86,6862.0-1202.0,146.07207066316334,421.926850433992
86,5451.0-2256.0,169.5087680476494,474.33888601557277
86,7879.0-4282.0,146.21109699972106,440.9861054649308
86,8906.0-4866.0,179.78695035659436,489.8386165171634
86,7278.0-3462.0,161.72151640151225,456.30295114271144
86,5934.0-1830.0,179.873574826183,510.41756403414325
86,4724.0-4284.0,157.70911240153362,476.02645179130263
86,3231.0-4357.0,197.1422282906776,522.4193553314567
86,6647.0-1667.0,168.30194764279082,492.5154466244989
86,2156.0-3675.0,207.86307581040174,538.7175201321911
86,5181.0-1973.0,166.83294335429383,511.86924770134397
88,5982.0-532.0,99.09520722051641,253.34661785024622
88,2972.0-292.0,88.56602284555485,275.5524935355928
88,6213.0-113.0,123.32893343610503,285.6062815038091
88,8551.0-1532.0,182.69628733925214,299.74587906633474
88,7762.0-3912.0,107.17281370362078,372.1511514786147
88,7588.0-2816.0,160.4061896365078,318.05462920424634
88,7616.0-4572.0,134.73281396385008,379.4727621526447
88,382.0-2828.0,90.97746168902697,353.67347778479865
88,6586.0-2842.0,103.81655084482371,417.6582751640499
88,6589.0-916.0,182.26292164429768,354.82052018121044
88,2018.0-3491.0,200.14748123208528,402.02136866361025
88,7974.0-3062.0,128.68575028010667,378.9368698881666
88,9522.0-4450.0,178.94661038820414,423.14252257483815
88,5557.0-3147.0,141.7572584502085,394.5917949789376
88,9936.0-4094.0,188.11368101989774,439.9943251142231
88,6862.0-1202.0,143.87693622437268,413.01392146984665
88,5451.0-2256.0,165.62637174406177,466.0210788005578
88,7879.0-4282.0,143.5630663867991,432.1970866461266
88,8906.0-4866.0,176.18770782136988,481.39442495746414
88,7278.0-3462.0,160.3155656605475,447.23199637277423
88,5934.0-1830.0,175.04766226500442,502.60926806920156
88,4724.0-4284.0,155.11949088020256,467.22004626461217
88,3231.0-4357.0,194.15848292631733,513.7385615011135
88,6647.0-1667.0,166.99629437103613,483.4295131304532
88,2156.0-3675.0,207.13192906411118,529.567419457354
88,5181.0-1973.0,163.34827506639112,503.37713342705683
88,3656.0-4008.0,208.10433092519068,547.8319865657609
88,310.0-2884.0,171.67494149578752,519.9891819606536
90,2972.0-292.0,85.75133638070041,266.81541976751515
90,6213.0-113.0,121.58298098830807,276.59459087583605
90,8551.0-1532.0,183.17424408374572,290.5790652646554
90,7762.0-3912.0,102.83929370141556,364.05920966501066
90,7588.0-2816.0,159.9444984064776,308.8869817888851
90,7616.0-4572.0,131.2871416140713,370.9647506351257
90,382.0-2828.0,87.15244523957622,345.3291283742276
90,6586.0-2842.0,98.3679433701266,410.27101623323256
90,6589.0-916.0,182.82515297674587,345.6584890825359
90,2018.0-3491.0,199.70978880932952,392.85254413331586
90,7974.0-3062.0,126.14619173610872,370.1158971342197
90,9522.0-4450.0,177.02062361583125,414.167585645984
90,5557.0-3147.0,139.7320113649983,385.6387344872335
90,9936.0-4094.0,186.57745867306974,430.9445218663413
90,6862.0-1202.0,141.68180178558205,404.1009925057013
90,5451.0-2256.0,161.74397544047412,457.70327158554284
90,7879.0-4282.0,140.91503577387715,423.4080678273224
90,8906.0-4866.0,172.5884652861454,472.95023339776486
90,7278.0-3462.0,158.90961491958274,438.16104160283703
90,5934.0-1830.0,170.22174970382585,494.80097210425987
