fri_ssm_time,fri_ssm_id,fri_ssm_x,fri_ssm_y
500,1472.0-148.0,188.04718051198466,404.0407473854377
500,5939.0-570.0,185.89284311994973,398.5905375587521
500,9508.0-1629.0,160.79447459485857,388.89283444188095
500,1936.0-2289.0,179.9927458802889,375.7186135862169
500,9204.0-4395.0,177.7551710147364,370.30274277975826
500,2526.0-1740.0,160.3464870622266,370.46579076287503
500,1826.0-4509.0,170.3988640922992,354.30472132451786
500,7065.0-3633.0,168.74679445811748,348.65766702683845
500,9001.0-3896.0,157.53629655307444,315.2828230641539
500,5992.0-1456.0,137.3508230372729,253.95113717601305
500,1514.0-1676.0,102.71202163801775,172.93309305356564
500,6576.0-367.0,99.37669498725843,161.6592007695981
502,5578.0-4829.0,172.46884198132904,419.0708933869395
502,1472.0-148.0,189.12191309731816,406.77443776027303
502,5939.0-570.0,186.9654294503416,401.32507074730574
502,9508.0-1629.0,161.70358966910126,391.6859729950554
502,1936.0-2289.0,181.07923780741692,378.44765160129305
502,9204.0-4395.0,178.8388107622328,373.03291458627353
502,2526.0-1740.0,161.2929160654411,373.2465074577793
502,1826.0-4509.0,171.467414873039,357.0408339728613
502,7065.0-3633.0,169.81741647512794,351.39296987883444
502,9001.0-3896.0,158.60751339556975,318.01789302154054
502,5992.0-1456.0,138.42866715249963,256.6836022277046
502,1514.0-1676.0,103.64440941283743,175.71854925189504
502,6576.0-367.0,100.30568289427931,164.445792713901
504,5578.0-4829.0,173.37426282767723,421.8652316424918
504,1472.0-148.0,190.19664568265165,409.50812813510834
504,5939.0-570.0,188.03801578073345,404.0596039358594
504,9508.0-1629.0,162.61270474334395,394.47911154822987
504,1936.0-2289.0,182.16572973454493,381.1766896163692
504,9204.0-4395.0,179.92245050972923,375.7630863927888
504,2526.0-1740.0,162.2393450686556,376.0272241526835
504,1826.0-4509.0,172.5359656537788,359.7769466212048
504,7065.0-3633.0,170.8880384921384,354.1282727308304
504,9001.0-3896.0,159.6787302380651,320.7529629789272
504,5992.0-1456.0,139.50651126772635,259.4160672793962
504,1514.0-1676.0,104.57679718765712,178.50400545022444
504,6576.0-367.0,101.2346708013002,167.2323846582039
506,5578.0-4829.0,174.27968367402542,424.6595698980441
506,1472.0-148.0,191.27137826798514,412.24181850994364
506,5939.0-570.0,189.1106021111253,406.79413712441306
506,9508.0-1629.0,163.52181981758665,397.2722501014043
506,1936.0-2289.0,183.25222166167293,383.9057276314453
506,9204.0-4395.0,181.00609025722565,378.4932581993041
506,2526.0-1740.0,163.1857740718701,378.80794084758776
506,1826.0-4509.0,173.6045164345186,362.51305926954825
506,7065.0-3633.0,171.95866050914887,356.8635755828264
506,9001.0-3896.0,160.74994708056042,323.48803293631386
506,5992.0-1456.0,140.58435538295308,262.1485323310878
506,1514.0-1676.0,105.50918496247681,181.28946164855384
506,6576.0-367.0,102.16365870832107,170.0189766025068
508,5578.0-4829.0,175.1851045203736,427.4539081535964
508,1472.0-148.0,192.34611085331863,414.97550888477895
508,5939.0-570.0,190.18318844151716,409.5286703129667
508,9508.0-1629.0,164.43093489182934,400.0653886545788
508,1936.0-2289.0,184.33871358880094,386.63476564652143
508,9204.0-4395.0,182.08973000472207,381.22343000581935
508,2526.0-1740.0,164.1322030750846,381.588657542492
508,1826.0-4509.0,174.67306721525838,365.2491719178917
508,7065.0-3633.0,173.02928252615934,359.5988784348224
508,9001.0-3896.0,161.82116392305574,326.2231028937005
508,5992.0-1456.0,141.6621994981798,264.88099738277936
508,1514.0-1676.0,106.4415727372965,184.07491784688324
508,6576.0-367.0,103.09264661534193,172.8055685468097
510,5578.0-4829.0,176.0905253667218,430.2482464091487
510,1472.0-148.0,193.42084343865213,417.70919925961425
510,5939.0-570.0,191.25577477190902,412.26320350152037
510,9508.0-1629.0,165.34004996607203,402.85852720775324
510,1936.0-2289.0,185.42520551592892,389.36380366159756
510,9204.0-4395.0,183.1733697522185,383.9536018123346
510,2526.0-1740.0,165.0786320782991,384.36937423739624
510,1826.0-4509.0,175.74161799599818,367.9852845662352
510,7065.0-3633.0,174.0999045431698,362.33418128681836
510,9001.0-3896.0,162.89238076555105,328.95817285108717
510,5992.0-1456.0,142.74004361340653,267.61346243447093
510,1514.0-1676.0,107.37396051211618,186.86037404521264
510,6576.0-367.0,104.02163452236282,175.5921604911126
512,5578.0-4829.0,176.99594621307,433.042584664701
512,1472.0-148.0,194.49557602398562,420.44288963444956
512,5939.0-570.0,192.32836110230087,414.997736690074
512,9508.0-1629.0,166.24916504031472,405.6516657609277
512,1936.0-2289.0,186.51169744305693,392.0928416766737
512,9204.0-4395.0,184.25700949971488,386.6837736188499
512,2526.0-1740.0,166.0250610815136,387.1500909323005
512,1826.0-4509.0,176.81016877673798,370.72139721457864
512,7065.0-3633.0,175.17052656018026,365.06948413881435
512,9001.0-3896.0,163.96359760804637,331.6932428084738
512,5992.0-1456.0,143.81788772863325,270.3459274861625
512,1514.0-1676.0,108.30634828693587,189.64583024354204
512,6576.0-367.0,104.9506224293837,178.3787524354155
514,5578.0-4829.0,177.9013670594182,435.8369229202533
514,1472.0-148.0,195.5703086093191,423.17658000928486
514,5939.0-570.0,193.40094743269273,417.7322698786277
514,9508.0-1629.0,167.1582801145574,408.44480431410216
514,1936.0-2289.0,187.5981893701849,394.8218796917498
514,9204.0-4395.0,185.34064924721127,389.41394542536517
